date,open,high,low,close,volume,dividend,ratio
2019-07-08,0.079902,0.081851,0.079021,0.080115,192911672.0,0.0,1
2019-07-09,0.080156,0.080569,0.077274,0.077965,195958887.0,0.0,1
2019-07-10,0.077981,0.078302,0.06996,0.071796,170493589.0,0.0,1
2019-07-11,0.07192,0.07192,0.063251,0.065284,188828518.0,0.0,1
2019-07-12,0.065403,0.070457,0.06407,0.069335,185244146.0,0.0,1
2019-07-13,0.069358,0.070689,0.065871,0.067334,180631143.0,0.0,1
2019-07-14,0.067355,0.067576,0.059968,0.059968,157879084.0,0.0,1
2019-07-15,0.059547,0.060137,0.056546,0.059283,163400683.0,0.0,1
2019-07-16,0.059194,0.060489,0.051457,0.052203,140169246.0,0.0,1
2019-07-17,0.051982,0.057615,0.050225,0.054912,147970827.0,0.0,1
2019-07-18,0.055011,0.059165,0.053531,0.05856,129779358.0,0.0,1
2019-07-19,0.058488,0.060541,0.056456,0.059625,101935247.0,0.0,1
2019-07-20,0.059714,0.064846,0.059576,0.062626,95938591.0,0.0,1
2019-07-21,0.062719,0.064022,0.059795,0.061231,98867005.0,0.0,1
2019-07-22,0.061213,0.062374,0.059061,0.060077,90215732.0,0.0,1
2019-07-23,0.060054,0.060109,0.055386,0.055893,109326999.0,0.0,1
2019-07-24,0.055783,0.059019,0.05401,0.058934,100735952.0,0.0,1
2019-07-25,0.058854,0.060458,0.058334,0.058592,101649449.0,0.0,1
2019-07-26,0.05854,0.062731,0.056205,0.062549,90820452.0,0.0,1
2019-07-27,0.062522,0.063054,0.057832,0.059875,86016046.0,0.0,1
2019-07-28,0.05993,0.060017,0.057053,0.05945,68309274.0,0.0,1
2019-07-29,0.059354,0.061457,0.058342,0.060422,61602633.0,0.0,1
2019-07-30,0.060435,0.060812,0.058936,0.059843,67612635.0,0.0,1
2019-07-31,0.059855,0.060635,0.059408,0.060126,68416725.0,0.0,1
2019-08-01,0.060124,0.062401,0.058023,0.058692,69870886.0,0.0,1
2019-08-02,0.058667,0.058789,0.056382,0.057445,77508863.0,0.0,1
2019-08-03,0.057382,0.058183,0.056895,0.057668,78831802.0,0.0,1
2019-08-04,0.057731,0.058179,0.056045,0.056168,75824166.0,0.0,1
2019-08-05,0.056077,0.057825,0.056073,0.056378,87567752.0,0.0,1
2019-08-06,0.056365,0.056365,0.053118,0.053631,84716685.0,0.0,1
2019-08-07,0.053494,0.054086,0.051512,0.051892,77091596.0,0.0,1
2019-08-08,0.05189,0.052985,0.050489,0.052137,85975566.0,0.0,1
2019-08-09,0.052142,0.052198,0.047415,0.047656,78873755.0,0.0,1
2019-08-10,0.047639,0.053338,0.047639,0.052056,87076264.0,0.0,1
2019-08-11,0.051992,0.05582,0.051992,0.055176,93913788.0,0.0,1
2019-08-12,0.054977,0.054977,0.052625,0.053091,84813050.0,0.0,1
2019-08-13,0.053067,0.053147,0.050108,0.052787,78101398.0,0.0,1
2019-08-14,0.052653,0.053676,0.046848,0.046964,93436756.0,0.0,1
2019-08-15,0.047129,0.048129,0.045101,0.04743,89201694.0,0.0,1
2019-08-16,0.047346,0.047346,0.044645,0.046633,74642783.0,0.0,1
2019-08-17,0.046685,0.047952,0.046345,0.047287,71939337.0,0.0,1
2019-08-18,0.047403,0.051018,0.047036,0.050678,68149812.0,0.0,1
