Date,Open,High,Low,Close,Adj Close,Volume
2022-01-18,2527.984863,2550.172607,2470.591797,2535.498779,2535.498779,4757
2022-01-19,2535.498779,2579.576660,2359.584229,2359.584229,2359.584229,26814
2022-01-20,2359.584473,2454.579102,2270.061279,2270.061279,2270.061279,5967
2022-01-21,2269.936523,2290.489502,1850.189575,1962.680542,1962.680542,7633
2022-01-22,1962.680542,2009.921265,1629.797363,1724.898315,1724.898315,25440
2022-01-23,1724.898315,1865.708618,1644.910522,1751.326172,1751.326172,39821
2022-01-24,1751.326172,1751.326172,1476.112305,1669.657715,1669.657715,2577
2022-01-25,1669.657715,1749.274902,1632.244873,1701.403320,1701.403320,27017
2022-01-26,1701.403320,2006.211304,1675.703247,1837.118652,1837.118652,17213
2022-01-27,1837.118652,1850.998413,1698.003296,1772.057617,1772.057617,3590
2022-01-28,1772.064087,1848.769775,1717.253662,1845.898315,1845.898315,1726
2022-01-29,1845.937866,1943.949951,1834.790771,1916.538330,1916.538330,4560
2022-01-30,1916.537842,1950.279907,1894.537354,1935.123901,1935.123901,563
2022-01-31,1935.114380,1984.993774,1845.946411,1979.125854,1979.125854,847
2022-02-01,1979.125854,2043.269409,1978.472412,2022.497192,2022.497192,235
2022-02-02,2022.497192,2047.666138,1884.544800,1922.201782,1922.201782,6678
2022-02-03,1922.201782,1946.907959,1830.445313,1884.801392,1884.801392,3424
2022-02-04,1884.801392,2108.056152,1884.801392,2108.056152,2108.056152,51
2022-02-05,2108.071777,2339.302490,2099.289551,2296.714600,2296.714600,25999
2022-02-06,2296.703613,2330.353027,2253.804443,2328.654297,2328.654297,3505
2022-02-07,2328.682861,2404.071777,2284.773193,2354.495361,2354.495361,3389
2022-02-08,2354.494873,2404.996094,2252.631836,2303.250488,2303.250488,2519
2022-02-09,2303.243652,2411.855957,2262.977539,2371.609375,2371.609375,4905
2022-02-10,2371.609375,2402.748779,2255.890137,2256.059814,2256.059814,1183
2022-02-11,2256.000977,2318.852783,2153.970703,2181.653320,2181.653320,136
2022-02-12,2181.647461,2200.570801,2095.397461,2121.080811,2121.080811,2248
2022-02-13,2121.544678,2130.394043,1998.970337,2025.660156,2025.660156,10060
2022-02-14,2025.660156,2076.117676,1997.867920,2059.918457,2059.918457,162
2022-02-15,2059.906250,2216.383057,2049.125244,2215.911133,2215.911133,2232
2022-02-16,2215.824219,2363.209717,2190.036865,2329.481934,2329.481934,17513
2022-02-17,2329.395752,2342.795898,2111.091064,2127.586182,2127.586182,2333
2022-02-18,2127.586182,2153.492920,1991.694824,2004.688477,2004.688477,5631
2022-02-19,2004.689697,2033.615601,1924.967529,1938.641235,1938.641235,6032
2022-02-20,1938.641235,1938.788086,1802.300171,1836.017090,1836.017090,1869
2022-02-21,1835.984619,1928.951538,1809.403809,1825.540283,1825.540283,1648
2022-02-22,1825.544800,1845.516846,1643.533936,1671.901855,1671.901855,21804
2022-02-23,1671.861328,1826.001587,1668.854492,1721.212402,1721.212402,11945
2022-02-24,1721.212402,1736.766357,1454.776245,1676.928833,1676.928833,5663
2022-02-25,1676.928833,1802.508301,1665.338013,1764.852173,1764.852173,2619
2022-02-26,1764.872070,1824.090210,1764.127686,1782.526001,1782.526001,1023
2022-02-27,1782.521362,1815.469360,1620.701782,1646.618164,1646.618164,4672
2022-02-28,1646.618164,1928.133057,1625.747559,1924.400635,1924.400635,10744
2022-03-01,1924.400635,1954.017456,1756.376587,1910.713013,1910.713013,57369
2022-03-02,1910.712891,1951.369141,1837.310425,1851.342407,1851.342407,148
2022-03-03,1851.334595,1902.732544,1817.285156,1845.559937,1845.559937,1469
2022-03-04,1845.558594,1845.558594,1649.836914,1670.168091,1670.168091,0
2022-03-05,1670.226196,1732.381104,1661.487061,1716.076782,1716.076782,1831
2022-03-06,1716.076782,1721.576782,1644.661499,1647.756104,1647.756104,402
