,Date,ADA_close,AVAX_close,FLOW_close,MANA_close,MATIC_close,SOL_close,TFUEL_close,Number of sales,Sales USD,Average USD,Active market wallets,Primary Sales,Secondary sales,Primary sales USD,Secondary sales USD,Unique buyers,Unique sellers
108,2018-01-18,0.650835272,18.63787472622716,7.263847277916997,0.130806014,0.0323253359449253,7.264398698779773,0.0665432125978313,2730,52915.57,19.38,1025,1743,987,28074.44,24841.13,723,457
109,2018-01-19,0.648897473,18.697041042605044,7.286906510392742,0.137252196,0.0324279533882568,7.28745968175238,0.0667544553938688,3136,78026.07,24.88,1038,2042,1094,33299.25,44726.82,750,449
110,2018-01-20,0.715659767,20.36021712080034,7.935105793076788,0.149946918,0.0353125486681881,7.935708171226442,0.0726925293955809,3222,157832.09,48.99,937,2043,1179,43702.58,114129.51,726,369
111,2018-01-21,0.613642215,17.662808733222572,6.883829139415992,0.122230663,0.0306341916350007,6.884351711939618,0.0630619131137161,3099,65416.79,21.11,951,1941,1158,45446.95,19969.84,721,388
112,2018-01-22,0.573069084,16.845158532866108,6.565161573001358,0.121709946,0.0292160676374848,6.565659954495398,0.0601426386839757,3048,46847.1,15.37,962,1890,1158,27054.69,19792.41,669,450
113,2018-01-23,0.558616043,16.473570894726294,6.420340562373401,0.145821626,0.0285715899053243,6.4208279500616,0.0588159511959077,2892,47831.21,16.54,945,1748,1144,25696.22,22134.99,683,412
114,2018-01-24,0.563633619,16.6128505994399,6.474622851465586,0.145228922,0.028813155175577,6.475114359888369,0.0593132245780642,2655,47225.25,17.79,840,1681,974,25785.67,21439.58,648,353
115,2018-01-25,0.641600003,18.53479109878445,7.223671896464098,0.143081841,0.0321465487743678,7.224220267490795,0.0661751708636188,2271,37334.84,16.44,820,1396,875,22607.68,14727.16,636,331
116,2018-01-26,0.619875403,17.986659131602664,7.010045238047412,0.137323556,0.0311958743953641,7.010577392021108,0.064218163288473,2785,50410.34,18.1,843,1816,969,30766.88,19643.46,641,344
117,2018-01-27,0.62293843,17.869678918223343,6.964453859362491,0.14060845,0.0309929851307918,6.964982552355194,0.0638005062689371,3142,53022.45,16.88,895,2021,1121,30258.73,22763.72,684,357
118,2018-01-28,0.642900882,18.052049184102884,7.035530083387004,0.141366873,0.0313092862218505,7.036064171993252,0.0644516268259858,2698,70402.79,26.09,796,1641,1057,28432.02,41970.77,611,338
119,2018-01-29,0.602152651,16.847873264436764,6.566219601119878,0.135844024,0.0292207760396664,6.566718062932068,0.0601523311495977,2436,44858.63,18.41,839,1487,949,25783.75,19074.88,606,391
120,2018-01-30,0.50713864,14.483918648296273,5.644901824506223,0.112941494,0.0251207577571223,5.645330346268213,0.0517122521757809,3009,57771.68,19.2,796,1974,1035,31524.69,26246.99,581,360
121,2018-01-31,0.503927018,14.311608396158592,5.5777463481263885,0.127652175,0.0248219046491943,5.578169771910775,0.0510970491062674,2871,97704.46,34.03,808,1917,954,32553.52,65150.93,584,350
122,2018-02-01,0.415171013,12.300932439118032,4.794113917290818,0.101575195,0.0213346091961211,4.794477853140702,0.0439182886713976,2083,33732.24,16.19,649,1426,657,21957.31,11774.93,489,275
123,2018-02-02,0.396772387,11.95235932455974,4.658262490745048,0.093586946,0.0207300476141286,4.6586161136976525,0.0426737704412531,2477,43181.16,17.43,705,1601,876,23696.42,19484.73,530,302
124,2018-02-03,0.458365106,13.561461383632848,5.285387191569501,0.105166689,0.0235208574780888,5.285788421476156,0.0484187827874212,2336,36170.47,15.48,662,1469,867,19857.94,16312.53,494,310
125,2018-02-04,0.391107509,11.592393243395495,4.517970817085073,0.096893373,0.0201057261894311,4.518313790067659,0.04138857565275,2091,32263.87,15.43,626,1351,740,19396.87,12867.0,449,307
126,2018-02-05,0.312515905,9.784597818239028,3.8134081954909416,0.070797164,0.016970304619307,3.813697682970072,0.0349341640271426,2308,30063.49,13.03,707,1319,989,16312.72,13750.77,500,343
127,2018-02-06,0.366607326,11.41814517727824,4.450060105196501,0.089771158,0.0198035121571054,4.450397922869247,0.0407664539635165,3331,36023.1,10.81,833,2197,1134,19990.64,16032.46,572,442
128,2018-02-07,0.332015766,10.267951025595018,4.001788251216104,0.100274277,0.0178086273914766,4.00209203920141,0.0366598905764081,2935,38182.96,13.01,897,1874,1061,20992.74,17190.22,613,434
129,2018-02-08,0.352682811,10.633910804183818,4.144415883420792,0.107959179,0.0184433442226058,4.144730498705875,0.0379664847941823,2724,33957.19,12.47,858,1671,1053,19042.76,14914.43,626,401
130,2018-02-09,0.380414412,11.52954650423664,4.4934771920408725,0.123592788,0.0199967254591335,4.493818305637469,0.0411641925625984,2825,48685.58,17.23,863,1670,1155,22681.59,26003.99,611,422
131,2018-02-10,0.386684018,11.715508648496035,4.565953299709595,0.114358719,0.0203192562666705,4.566299915189187,0.0418281372817454,2149,68483.92,31.87,806,1258,891,21187.31,47296.61,566,397
132,2018-02-11,0.353583527,10.997514742009946,4.286125360108152,0.118566774,0.0190739751080354,4.286450732993017,0.0392646679020517,3389,65422.61,19.3,947,1999,1390,29839.4,35583.21,587,547
133,2018-02-12,0.369385022,11.21809256749254,4.372092438476047,0.124651613,0.019456542992811,4.372424337384754,0.040052201746498,3228,57612.67,17.85,895,2018,1210,30845.88,26766.78,595,494
134,2018-02-13,0.356932891,10.971019051234896,4.275799040496075,0.115886085,0.0190280212577184,4.276123629478436,0.0391700697566049,3643,94365.84,25.9,1000,2184,1459,39810.35,54555.5,568,620
135,2018-02-14,0.391119065,11.869151178073466,4.625833296041624,0.123236049,0.0205857322708809,4.626184457194876,0.0423766905722852,5628,381022.46,67.7,1527,2771,2857,63597.04,317425.42,657,1131
136,2018-02-15,0.390615361,11.90664036691013,4.640444175569606,0.135954537,0.0206507531298173,4.64079644587941,0.042510539044792,6416,761197.38,118.64,1439,3517,2899,111298.3,649899.08,759,994
