Date,Open,High,Low,Close,Volume,Market Cap
2021-11-25,12.9943,13.95886597872886,12.8287,13.25048056374454,145075513.1111111,4140818045.4323545
2021-11-26,13.25257282395964,13.25257282395964,11.51794011329049,11.683136465133844,135960736.30555555,3813923084.138509
2021-11-27,11.671586645254752,12.25248202237022,11.671586645254752,11.8249,110295944.94308944,3754744267.932764
2021-11-28,11.8702,12.891978945593792,11.4808,12.31851253360086,102129238.45255476,3779117775.280152
2021-11-29,12.29911297448919,13.005992843840724,12.2254,12.841345673049144,144433744.08333334,3979934866.813807
2021-11-30,12.804576899031236,12.8507,12.3007,12.4233,103754189.28682172,3942358496.0921545
2021-12-01,12.4233,12.6494,12.248,12.2937,73421158.37104072,3929491818.924268
2021-12-02,12.2709,12.283693559618088,11.862084043364405,12.054,80320693.5630252,3785837928.268757
2021-12-03,12.054,12.2307,11.36759294409282,11.607,67894008.84018265,3750546942.85223
2021-12-04,11.5579,11.5579,8.932231851513258,9.869996404299464,128690544.73239435,3132075313.8493586
2021-12-05,9.937614608535336,10.1665,9.189838199853035,9.204253569865612,92252752.07604565,3055411576.0234985
2021-12-06,9.241040444286782,9.718562416137445,8.651545839509035,9.666219010470758,95472305.58241758,2872254745.1168256
2021-12-07,9.67234527081732,10.3168,9.61406426354413,10.0537,92770012.75187968,3151309452.9902606
2021-12-08,10.0537,10.3982,9.66917893056039,10.055456413307294,73792729.39495799,3159936729.202467
